nct_id,overall_count,female,male,<=18years,18-65years,>=65years,mean_age,age_number_analyzed
NCT00043979,120,58.0,62.0,62.0,58.0,0.0,20.55,40.0
NCT00044005,196,56.0,140.0,,,,41.43333333333333,384.0
NCT00044044,706,182.0,524.0,,,,41.18333333333334,47.333333333333336
NCT00044083,378,154.0,224.0,0.0,378.0,0.0,31.166666666666668,22.333333333333332
NCT00044213,3416,598.0,2818.0,,,,65.5,55.0
NCT00044512,137,40.0,97.0,0.0,84.0,53.0,,
NCT00044655,438,146.0,292.0,0.0,416.0,22.0,47.166666666666664,22.333333333333332
NCT00045032,10198,10198.0,0.0,,,,49.125,33.5
NCT00045110,272,94.0,178.0,,,,50.75,33.5
NCT00045162,1302,562.0,740.0,,,,62.333333333333336,22.333333333333332
NCT00045305,17,5.0,12.0,,,,58.0,21.0
NCT00045435,17,4.0,13.0,0.0,10.0,7.0,64.8,21.0
NCT00045487,41,9.0,32.0,0.0,15.0,26.0,57.0,21.0
NCT00045630,74,18.0,56.0,,,,69.0,21.0
NCT00045708,114,52.0,62.0,,,,54.0,33.5
NCT00045734,23,13.0,10.0,,,,58.0,21.0
NCT00045942,284,132.0,152.0,0.0,112.0,172.0,,
NCT00046228,4904,1284.0,3620.0,,,,62.35,33.5
NCT00046475,208,94.0,114.0,,,,62.13333333333333,22.333333333333332
NCT00046566,704,410.0,294.0,,,,47.725,33.5
NCT00046839,36,28.0,8.0,,,,72.0,22.333333333333332
NCT00046891,452,452.0,0.0,,,,,
NCT00046930,866,376.0,490.0,,,,69.3,22.333333333333332
NCT00047008,1442,248.0,1194.0,,,,55.666666666666664,22.333333333333332
NCT00047060,5,2.0,3.0,0.0,5.0,0.0,,
NCT00047320,104,25.0,79.0,,,,12.0,21.0
NCT00047385,106908,43844.0,63064.0,0.0,78468.0,28440.0,61.4,22.333333333333332
NCT00047463,70,30.0,40.0,0.0,70.0,0.0,41.56666666666667,22.333333333333332
NCT00047697,68,6.0,62.0,,,,11.700000000000001,22.333333333333332
NCT00047853,2126,1140.0,986.0,0.0,2118.0,0.0,,
NCT00047879,14,2.0,12.0,0.0,10.0,4.0,54.626666666666665,22.333333333333332
NCT00048035,182,62.0,120.0,,,,58.0,41.42857142857143
NCT00048048,130,84.0,46.0,,,,61.17,37.1
NCT00048061,3166,3166.0,0.0,,,,66.03999999999999,55.0
NCT00048074,2764,2764.0,0.0,,,,66.025,33.5
NCT00048165,868,172.0,696.0,,,,52.76666666666667,22.333333333333332
NCT00048347,18,8.0,10.0,1.0,16.0,1.0,39.4,21.0
NCT00048542,266,206.0,60.0,,,,11.22,55.0
NCT00048568,1304,272.0,1032.0,,,,51.0,22.333333333333332
NCT00048581,782,610.0,172.0,,,,53.1,22.333333333333332
NCT00048724,1252,410.0,842.0,,,,,
NCT00048737,70,23.0,47.0,0.0,61.0,9.0,,
NCT00048815,146,74.0,72.0,,,,48.25,33.5
NCT00048893,37,37.0,0.0,0.0,35.0,2.0,52.0,21.0
NCT00048932,2882,2374.0,508.0,,,,52.26666666666667,22.333333333333332
NCT00048997,680,254.0,426.0,,,,61.0,22.333333333333332
NCT00049036,212,30.0,182.0,0.0,210.0,2.0,42.6,230.5
NCT00049127,126,44.0,82.0,,,,46.0,48.75
NCT00049257,58,0.0,58.0,,,,71.0,21.0
NCT00049322,60,10.0,50.0,,,,,
NCT00049504,55,21.0,34.0,,,,40.0,21.0
NCT00049517,1314,644.0,670.0,,,,47.666666666666664,22.333333333333332
NCT00049530,29,9.0,20.0,,,,64.0,21.0
NCT00049543,1006,464.0,542.0,0.0,450.0,556.0,66.63333333333334,22.333333333333332
NCT00049673,664,228.0,436.0,,,,,
NCT00049842,1080,314.0,766.0,,,,,
NCT00050011,1204,1204.0,0.0,,,,61.199999999999996,22.333333333333332
NCT00050089,678,14.0,664.0,,,,48.6,55.0
NCT00050167,1206,1206.0,0.0,,,,50.0,22.333333333333332
NCT00050622,154,24.0,130.0,154.0,0.0,0.0,9.15,21.0
NCT00050778,666,428.0,238.0,,,,32.3,33.5
NCT00050960,1224,412.0,812.0,0.0,680.0,544.0,62.1,22.333333333333332
NCT00050986,55,13.0,42.0,0.0,52.0,3.0,52.0,21.0
NCT00051025,18,8.0,10.0,0.0,10.0,8.0,63.166666666666664,22.333333333333332
NCT00051168,502,281.0,221.0,0.0,237.0,265.0,,
NCT00051311,124,,,0.0,104.0,20.0,52.123333333333335,22.333333333333332
NCT00051363,2196,758.0,1438.0,2.0,1846.0,348.0,51.5,22.333333333333332
NCT00051558,856,690.0,166.0,,,,,
NCT00051636,344,98.0,246.0,,,,71.23333333333333,230.33333333333334
NCT00052078,976,484.0,492.0,976.0,0.0,0.0,,
NCT00052429,25,8.0,17.0,0.0,22.0,3.0,,
NCT00052442,144,56.0,88.0,,,,53.86666666666667,47.333333333333336
NCT00052715,30,16.0,14.0,,,,53.0,21.0
NCT00052910,1092,350.0,742.0,,,,58.53333333333333,22.333333333333332
NCT00052962,60,26.0,34.0,,,,50.089999999999996,22.333333333333332
NCT00053014,5,1.0,4.0,,,,62.0,21.0
NCT00053352,604,348.0,256.0,,,,7.666666666666667,22.333333333333332
NCT00053365,55,55.0,0.0,,,,59.2,21.0
NCT00053417,412,262.0,150.0,0.0,398.0,14.0,49.7,55.0
NCT00053482,714,350.0,364.0,0.0,714.0,0.0,48.166666666666664,47.333333333333336
NCT00053495,706,230.0,476.0,0.0,706.0,0.0,22.166666666666668,47.333333333333336
NCT00053677,154,94.0,60.0,,,,46.26666666666667,22.333333333333332
NCT00053703,232,82.0,150.0,228.0,4.0,0.0,14.2325,33.5
NCT00053846,758,390.0,368.0,,,,63.46666666666667,22.333333333333332
NCT00053898,6208,6208.0,0.0,,,,61.0,22.333333333333332
NCT00053989,41,17.0,24.0,1.0,37.0,3.0,52.0,21.0
NCT00054028,62,62.0,0.0,,,,56.0,22.333333333333332
NCT00054132,38,38.0,0.0,0.0,34.0,4.0,,
NCT00054275,39,39.0,0.0,,,,51.0,230.0
NCT00054327,68,32.0,36.0,26.0,42.0,0.0,,
NCT00054353,32,0.0,32.0,0.0,26.0,6.0,,
NCT00054639,46,33.0,13.0,,,,59.0,230.0
NCT00054665,50,14.0,36.0,0.0,36.0,14.0,53.04,21.0
NCT00054691,40,10.0,30.0,,,,,
NCT00054704,38,12.0,26.0,,,,48.03333333333333,22.333333333333332
NCT00054717,1240,110.0,1130.0,,,,45.06666666666666,22.333333333333332
NCT00054756,96,58.0,36.0,2.0,92.0,2.0,38.0,96.0
NCT00054847,1466,12.0,1454.0,,,,61.53333333333333,22.333333333333332
NCT00055224,1836,1178.0,658.0,0.0,1802.0,0.0,,
NCT00055237,38,2.0,36.0,0.0,34.0,4.0,50.0,22.333333333333332
